"","uniqueID1","uniqueID2","uniqueID3","uniqueID4","date","year","season","fishing_season","latitude","longitude","location","total_salmon_per_site","day_scaled_linearised","month_linearised","netting_record","sea_age","sex","fork_length","gut_weight","condition","vgll3","six6","best_estimate","be_probability","prey_group","num_prey","num_fish","num_crus","w_fish","w_crus","w_prey","empty_notEmpty","fish_prop","fish_noFish","crust_prop","crust_noCrust"
"21","32_W_62","0032_W_62","0032_W_62_1992","86_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,86,"2","male",62,1.82,0.763653452384949,2,3,"Southern_Norway",1,NA,0,0,0,0,0,0,0,NA,0,NA,0
"22","33_W_68","0033_W_68","0033_W_68_1992","85_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,85,"2","male",68,2.64,0.839609200081417,2,2,"England_Ireland",0.9998,"Crustaceans",20,0,20,0,0.23,0.23,1,0,0,1,1
"23","34_W_70","0034_W_70","0034_W_70_1992","83_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,83,"2","male",70,3,0.87463556851312,1,2,"England_Ireland",1,"Fish",1,1,0,1.4,0,1.4,1,1,1,0,0
"24","35_W_65","0035_W_65","0035_W_65_1992","82_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,82,"2","male",65,2.27,0.826581702321347,1,3,"Southern_Norway",0.9998,"Crustaceans",17,0,17,0,0.82,0.82,1,0,0,1,1
"25","36_W_67","0036_W_67","0036_W_67_1992","81_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,81,"2","female",67,2.91,0.967539225237147,2,3,"Southern_Norway",1,NA,0,0,0,0,0,0,0,NA,0,NA,0
"26","37_W_62","0037_W_62","0037_W_62_1992","79_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,79,"2","female",62,2.27,0.952468866436172,3,3,"Northern_Norway",1,NA,0,0,0,0,0,0,0,NA,0,NA,0
"27","38_W_73","0038_W_73","0038_W_73_1992","77_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,77,"2","female",73,3.91,1.00509746360699,3,2,"Southern_Norway",1,"Fish",1,1,0,55.56,0,55.56,1,1,1,0,0
"28","39_W_72","0039_W_72","0039_W_72_1992","75_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,75,"2","female",72,3.64,0.975222908093278,1,2,"England_Ireland",0.9995,"Crustaceans",7,0,7,0,0.12,0.12,1,0,0,1,1
"29","40_W_67","0040_W_67","0040_W_67_1992","74_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,74,"2","male",67,3.09,1.02738701236522,2,1,"England_Ireland",1,NA,0,0,0,0,0,0,0,NA,0,NA,0
"30","41_W_75","0041_W_75","0041_W_75_1992","73_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,73,"2","female",75,4.55,1.07851851851852,1,1,"England_Ireland",1,NA,0,0,0,0,0,0,0,NA,0,NA,0
