IND;Best Estimate;Probability;2nd Best Estimate;Probability;3rd Best Estimate, etc.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0117_W_66_1992 ;Tweed;0.6534;NorthEsk;0.2794;Blackwater;0.0649;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0123_W_72_1992 ;Gaula;0.9968;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0119_W_70_1992 ;Numedalsiagen;0.9994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0120_W_70_1992 ;Blackwater;0.9253;Dart;0.0614;NorthEsk;0.0072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0122_W_63_1992 ;Dionard;0.9917;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0110_W_64_1992 ;Dart;0.7631;Tweed;0.2169;Blackwater;0.0175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0109_W_65_1992 ;Gaula;0.9997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0100_W_64_1992 ;Tweed;0.3969;Dionard;0.3053;Dart;0.2958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0104_W_68_1992 ;Blackwater;0.4550;Dionard;0.2575;Tweed;0.1650;NorthEsk;0.1208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0103_W_64_1992 ;Dionard;0.9996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0101_W_75_1992 ;NorthEsk;0.4068;Blackwater;0.3187;Dionard;0.1489;Tweed;0.1244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0046_W_66_1992 ;Gaula;0.6849;Numedalsiagen;0.2631;Lardaiselva;0.0519;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0045_W_73_1992 ;Gaula;0.9985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0044_W_79_1992 ;Numedalsiagen;0.6122;Gaula;0.3562;Lardaiselva;0.0283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0043_W_70_1992 ;Dionard;0.9176;Tweed;0.0432;Blackwater;0.0213;Dart;0.0129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0041_W_75_1992 ;Dionard;0.9934;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0040_W_67_1992 ;Dionard;0.9615;Tweed;0.0372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0039_W_72_1992 ;Tweed;0.6853;Blackwater;0.2349;Dionard;0.0483;Dart;0.0164;Moy;0.0143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0026_W_72_1992 ;Blackwater;0.9206;Dionard;0.0766;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0038_W_73_1992 ;Gaula;0.9948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0049_W_70_1992 ;Blackwater;0.7738;Dionard;0.2097;Dart;0.0056;Moy;0.0048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0037_W_62_1992 ;Reisa_aver;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0036_W_67_1992 ;Gaula;0.7951;Lardaiselva;0.2044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0035_W_65_1992 ;Lardaiselva;0.9997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0034_W_70_1992 ;Dionard;0.4479;NorthEsk;0.4123;Blackwater;0.0521;Dart;0.0372;Tweed;0.0254;Moy;0.0250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0033_W_68_1992 ;Blackwater;0.4277;Dionard;0.3103;Moy;0.2154;Dart;0.0450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0032_W_62_1992 ;Gaula;0.8923;Lardaiselva;0.1077;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0031_W_52_1992 ;Blackwater;0.9997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029_W_51_1992 ;Dionard;0.8545;Blackwater;0.1134;Dart;0.0241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0028_W_48_1992 ;Dart;0.9993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0047_W_45_1992 ;Gaula;0.3651;Dionard;0.3543;NorthEsk;0.2707;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0063_W_44_1992 ;Tweed;0.8424;Blackwater;0.0922;Dionard;0.0373;Moy;0.0240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0073_W_45_1992 ;Tweed;0.5388;Dionard;0.3478;NorthEsk;0.0767;Blackwater;0.0366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0072_W_46_1992 ;Lardaiselva;0.9942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0071_W_45_1992 ;NorthEsk;0.7936;Tweed;0.2060;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0070_W_46_1992 ;Blackwater;0.7513;Dionard;0.1583;NorthEsk;0.0495;Moy;0.0336;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0069_W_44_1992 ;Numedalsiagen;0.9962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0068_W_48_1992 ;Gaula;0.9387;NorthEsk;0.0383;Numedalsiagen;0.0152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0067_W_56_1992 ;Gaula;0.9446;Numedalsiagen;0.0413;Lardaiselva;0.0140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0066_W_46_1992 ;Numedalsiagen;0.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0065_W_45_1992 ;Dionard;0.8612;Blackwater;0.0679;Tweed;0.0501;Lardaiselva;0.0125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
