IND;Best Estimate;Probability;2nd Best Estimate;Probability;3rd Best Estimate, etc.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0240_W_90_1993 ;Gaula;0.7070;Lardaiselva;0.2804;Numedalsiagen;0.0057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0241_W_100_1993 ;Numedalsiagen;0.9995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0242_W_99_1993 ;UN_aver;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0243_W_95_1993 ;Gaula;0.9998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0244_W_92_1993 ;Alta;0.9754;Lardaiselva;0.0067;Mal_aver;0.0060;Reisa_aver;0.0055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0245_W_92_1993 ;Teno;0.6339;Lardaiselva;0.1969;Gaula;0.1302;Alta;0.0150;Titovka_aver;0.0126;Laukhelle_aver;0.0050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0246_W_76_1993 ;Gaula;0.5177;NorthEsk;0.4754;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0248_W_88_1993 ;Alta;0.9131;Reisa_aver;0.0788;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0304_W_94_1993 ;Alta;0.9982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0319_W_92_1993 ;Alta;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0306_W_74_1993 ;Gaula;0.8901;Lardaiselva;0.1097;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0308_W_66_1993 ;Numedalsiagen;0.9481;Lardaiselva;0.0285;Gaula;0.0160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0309_W_90_1993 ;Gaula;0.9042;Dionard;0.0916;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0310_W_96_1993 ;Gaula;0.8616;Numedalsiagen;0.1363;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0311_W_107_1993 ;Gaula;0.9977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0312_W_89_1993 ;Gaula;0.9994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0313_W_84_1993 ;Gaula;0.6167;NorthEsk;0.3599;Blackwater;0.0131;Dionard;0.0064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0314_W_92_1993 ;Gaula;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0315_W_73_1993 ;Gaula;0.7799;Numedalsiagen;0.2110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0316_W_73_1993 ;Ong_aver;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0317_W_66_1993 ;Emtsa;0.5399;MPI_aver;0.4601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0320_W_72_1993 ;Numedalsiagen;0.9996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0330_W_68_1993 ;UN_aver;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0331_W_85_1993 ;Gaula;0.9998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0328_W_84_1993 ;Gaula;0.7603;Laukhelle_aver;0.1614;VJ_aver;0.0574;Numedalsiagen;0.0162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0327_W_88_1993 ;Gaula;0.9600;Lardaiselva;0.0396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0326_W_82_1993 ;Gaula;0.9972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0325_W_67_1993 ;Teno;0.8985;Titovka_aver;0.0562;Tuloma;0.0222;Neiden_aver;0.0163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0329_W_73_1993 ;Gaula;0.9995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0324_W_74_1993 ;Gaula;0.9783;Numedalsiagen;0.0156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0323_W_69_1993 ;Laukhelle_aver;0.5434;Gaula;0.2743;Numedalsiagen;0.1243;Blackwater;0.0218;Dionard;0.0137;Dart;0.0129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0322_W_88_1993 ;Alta;0.9976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0318_W_71_1993 ;Gaula;0.8269;Lardaiselva;0.1424;Alta;0.0303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0321_W_95_1993 ;Alta;0.9993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0301_W_93_1993 ;Gaula;0.9865;Alta;0.0075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0299_W_87_1993 ;Gaula;0.9983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0305_W_93_1993 ;Gaula;0.9992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0282_W_89_1993 ;Gaula;0.9875;Numedalsiagen;0.0125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0274_W_69_1993 ;Dionard;0.7491;Blackwater;0.1375;Dart;0.0802;NorthEsk;0.0325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0283_W_74_1993 ;Lardaiselva;0.9122;Gaula;0.0667;Numedalsiagen;0.0116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0287_W_87_1993 ;Gaula;0.7838;Mal_aver;0.1488;Lardaiselva;0.0337;Alta;0.0199;Numedalsiagen;0.0048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0281_W_71_1993 ;Gaula;0.9848;Lardaiselva;0.0152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0280_W_92_1993 ;Gaula;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0278_W_97_1993 ;UN_aver;0.9988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0276_W_84_1993 ;Gaula;0.9728;Mal_aver;0.0135;Lardaiselva;0.0134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0275_W_69_1993 ;Gaula;0.8640;Numedalsiagen;0.1353;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0286_W_65_1993 ;Reisa_aver;0.9905;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0288_W_68_1993 ;Gaula;0.9703;Alta;0.0221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0290_W_81_1993 ;Numedalsiagen;0.3621;Lardaiselva;0.2469;Gaula;0.1975;Mal_aver;0.1932;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0291_W_73_1993 ;Alta;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0292_W_86_1993 ;Gaula;0.9822;Lardaiselva;0.0175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0293_W_72_1993 ;Dart;0.5658;Gaula;0.4121;Dionard;0.0197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0294_W_79_1993 ;Gaula;0.9991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0295_W_66_1993 ;Emtsa;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0296_W_69_1993 ;NorthEsk;0.8402;Dionard;0.0952;Blackwater;0.0386;Moy;0.0208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0297_W_72_1993 ;Chaloupe;0.7815;Narraguagus;0.2183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0298_W_70_1993 ;UN_aver;0.9624;PPI_aver;0.0376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0302_W_72_1993 ;NorthEsk;0.7283;Dionard;0.2274;Tweed;0.0432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0300_W_63_1993 ;Tweed;0.7859;NorthEsk;0.1225;Dart;0.0655;Blackwater;0.0242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0360_W_91_1993 ;Alta;0.9997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0361_W_97_1993 ;Alta;0.9851;Teno;0.0149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0362_W_77_1993 ;Gaula;0.7370;Dionard;0.2401;NorthEsk;0.0076;Lardaiselva;0.0045;Blackwater;0.0044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0363_W_88_1993 ;Gaula;0.8408;Lardaiselva;0.1591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0371_W_71_1993 ;Gaula;0.7730;Numedalsiagen;0.1066;NorthEsk;0.0873;Lardaiselva;0.0318;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0357_W_70_1993 ;Lardaiselva;0.8672;Gaula;0.1231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0365_W_54_1993 ;Lardaiselva;0.8909;Gaula;0.0708;NorthEsk;0.0376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0367_W_98_1993 ;Alta;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0368_W_72_1993 ;Gaula;0.7733;Lardaiselva;0.2223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0380_W_70_1993 ;Gaula;0.9988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0379_W_75_1993 ;Lardaiselva;0.5158;Gaula;0.4839;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0378_W_71_1993 ;Gaula;0.9896;Lardaiselva;0.0044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0377_W_71_1993 ;Gaula;0.9207;Lardaiselva;0.0793;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0376_W_67_1993 ;Dionard;0.9698;NorthEsk;0.0211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0355_W_87_1993 ;Gaula;0.9073;Numedalsiagen;0.0922;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0374_W_71_1993 ;Gaula;0.9808;Numedalsiagen;0.0182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0358_W_72_1993 ;Gaula;0.9998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0369_W_75_1993 ;Numedalsiagen;0.8512;Gaula;0.1336;Dionard;0.0093;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0372_W_76_1993 ;Gaula;0.7383;Lardaiselva;0.1869;Numedalsiagen;0.0746;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0359_W_71_1993 ;Alta;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0343_W_70_1993 ;Gaula;0.9951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0342_W_87_1993 ;NorthEsk;0.9438;Gaula;0.0192;Lardaiselva;0.0184;Tweed;0.0178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0338_W_72_1993 ;Dart;0.8127;Tweed;0.1504;NorthEsk;0.0265;Dionard;0.0102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0339_W_71_1993 ;Gaula;0.7092;Laukhelle_aver;0.2831;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0337_W_69_1993 ;Gaula;0.4212;Numedalsiagen;0.2902;Lardaiselva;0.2809;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0335_W_62_1993 ;Alta;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0334_W_87_1993 ;Lardaiselva;0.9994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0333_W_74_1993 ;Gaula;0.6301;Lardaiselva;0.3689;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0340_W_77_1993 ;Numedalsiagen;0.6341;Gaula;0.3634;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0346_W_82_1993 ;Gaula;0.8424;Numedalsiagen;0.0780;Lardaiselva;0.0732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0347_W_80_1993 ;Gaula;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0348_W_95_1993 ;Gaula;0.8830;Mal_aver;0.0671;Alta;0.0452;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0356_W_80_1993 ;Gaula;0.9998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0350_W_83_1993 ;Gaula;0.7047;Numedalsiagen;0.2898;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0341_W_73_1993 ;NorthEsk;0.9741;Blackwater;0.0142;Dionard;0.0104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0352_W_89_1993 ;Gaula;0.9980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0353_W_88_1993 ;Mal_aver;0.8941;Gaula;0.0926;Lardaiselva;0.0132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0354_W_82_1993 ;UN_aver;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0332_W_75_1993 ;NorthEsk;0.9992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0414_W_95_1993 ;Gaula;0.9894;Lardaiselva;0.0102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0410_W_98_1993 ;Lardaiselva;0.9947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0411_W_96_1993 ;Dionard;0.9623;NorthEsk;0.0151;Moy;0.0117;Dart;0.0092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0412_W_71_1993 ;Numedalsiagen;0.7207;Gaula;0.1923;Lardaiselva;0.0869;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0420_W_77_1993 ;Lardaiselva;0.9672;Numedalsiagen;0.0327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0413_W_75_1993 ;Gaula;0.8484;Alta;0.1442;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0416_W_85_1993 ;UN_aver;0.9995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0417_W_88_1993 ;Gaula;0.9990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0422_W_87_1993 ;Gaula;0.9946;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0431_W_98_1993 ;UN_aver;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0430_W_85_1993 ;Gaula;0.8533;Lardaiselva;0.1467;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0429_W_58_1993 ;Gaula;0.9941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0428_W_74_1993 ;Gaula;0.8934;Numedalsiagen;0.1057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0427_W_90_1993 ;Gaula;0.8551;Lardaiselva;0.1384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0426_W_91_1993 ;Gaula;0.9989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0425_W_88_1993 ;Gaula;0.9997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0424_W_85_1993 ;Gaula;0.9924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0423_W_75_1993 ;Dionard;0.5509;Dart;0.4324;Blackwater;0.0163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0419_W_87_1993 ;Gaula;0.9947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0421_W_73_1993 ;Numedalsiagen;0.6754;Gaula;0.2948;Lardaiselva;0.0283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0405_W_72_1993 ;Numedalsiagen;0.9958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0409_W_68_1993 ;Numedalsiagen;0.5185;Laukhelle_aver;0.2699;Dart;0.1474;Gaula;0.0367;Lardaiselva;0.0267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0408_W_96_1993 ;Gaula;0.9987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0389_W_69_1993 ;Gaula;0.9263;Lardaiselva;0.0735;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0382_W_87_1993 ;Alta;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0390_W_87_1993 ;Numedalsiagen;0.7803;Dionard;0.1235;Gaula;0.0419;Lardaiselva;0.0341;Dart;0.0129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0393_W_62_1993 ;Gaula;0.9768;Numedalsiagen;0.0232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0388_W_91_1993 ;Teno;0.9473;Lebyazhya;0.0516;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0387_W_87_1993 ;Alta;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0386_W_64_1993 ;UN_aver;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0385_W_89_1993 ;Gaula;0.9976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0384_W_82_1993 ;Gaula;0.9555;Lardaiselva;0.0414;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0391_W_67_1993 ;Gaula;0.8947;Numedalsiagen;0.0614;Lardaiselva;0.0345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0394_W_74_1993 ;NorthEsk;0.7924;Dart;0.1838;Tweed;0.0170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0395_W_68_1993 ;Gaula;0.9997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0396_W_75_1993 ;Gaula;0.9997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0397_W_61_1993 ;Gaula;0.8435;Lardaiselva;0.1542;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0398_W_87_1993 ;Numedalsiagen;0.9997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0399_W_102_1993 ;Alta;0.9915;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0401_W_68_1993 ;Blackwater;0.6041;Dionard;0.2192;NorthEsk;0.1407;Tweed;0.0207;Gaula;0.0140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0402_W_77_1993 ;NorthEsk;0.9948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0403_W_77_1993 ;Numedalsiagen;0.6431;Lardaiselva;0.1692;NorthEsk;0.0927;Gaula;0.0907;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0404_W_71_1993 ;Dionard;0.8646;NorthEsk;0.1319;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0392_W_79_1993 ;Gaula;0.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0460_W_68_1993 ;Lardaiselva;0.7241;Gaula;0.2492;Numedalsiagen;0.0266;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0456_W_71_1993 ;Gaula;0.8601;Dionard;0.1184;NorthEsk;0.0152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0459_W_87_1993 ;Gaula;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0461_W_84_1993 ;Alta;0.9730;Lardaiselva;0.0199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0462_W_95_1993 ;Gaula;0.9817;Numedalsiagen;0.0181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0463_W_89_1993 ;Gaula;0.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0464_W_97_1993 ;Gaula;0.3845;Titovka_aver;0.3365;Teno;0.2337;Tuloma;0.0300;Lardaiselva;0.0132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0465_W_64_1993 ;Emtsa;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0466_W_69_1993 ;NorthEsk;0.8011;Dionard;0.1986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0467_W_66_1993 ;Alta;0.8273;Teno;0.1727;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0471_W_87_1993 ;Gaula;0.9995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0480_W_79_1993 ;Tweed;0.4887;NorthEsk;0.3153;Dionard;0.1699;Dart;0.0256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0479_W_74_1993 ;Gaula;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0478_W_72_1993 ;Numedalsiagen;0.8689;Gaula;0.0755;Dionard;0.0524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0476_W_100_1993 ;UN_aver;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0475_W_95_1993 ;Alta;0.9920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0474_W_97_1993 ;Gaula;0.9750;Lardaiselva;0.0187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0469_W_70_1993 ;Alta;0.8724;Mal_aver;0.0831;Gaula;0.0349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0472_W_71_1993 ;Gaula;0.9788;Lardaiselva;0.0210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0481_W_77_1993 ;Dart;0.7987;Dionard;0.1595;Blackwater;0.0338;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0473_W_92_1993 ;Laukhelle_aver;0.4594;Gaula;0.3058;Lardaiselva;0.2234;Mal_aver;0.0112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0458_W_92_1993 ;Teno;0.8320;Tuloma;0.0753;Alta;0.0347;Titovka_aver;0.0305;Neiden_aver;0.0266;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0455_W_96_1993 ;UN_aver;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0439_W_86_1993 ;Alta;0.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0432_W_75_1993 ;Dionard;0.7136;Tweed;0.1190;Dart;0.0930;NorthEsk;0.0473;Gaula;0.0116;Numedalsiagen;0.0098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0440_W_71_1993 ;Gaula;0.9032;Blackwater;0.0327;Dionard;0.0268;NorthEsk;0.0235;Numedalsiagen;0.0123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0442_W_65_1993 ;Lardaiselva;0.9869;Gaula;0.0110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0437_W_88_1993 ;Gaula;0.9910;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0436_W_76_1993 ;Blackwater;0.5905;Dart;0.2467;Dionard;0.1089;NorthEsk;0.0492;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0435_W_69_1993 ;Gaula;0.9875;Lardaiselva;0.0073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0433_W_93_1993 ;Alta;0.9969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0441_W_72_1993 ;Dart;0.9994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0443_W_91_1993 ;Gaula;0.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0444_W_75_1993 ;Gaula;0.7524;Lardaiselva;0.1715;Alta;0.0425;Laukhelle_aver;0.0177;Numedalsiagen;0.0149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0445_W_69_1993 ;Gaula;0.9968;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0447_W_74_1993 ;Dart;0.8760;Blackwater;0.1139;Tweed;0.0069;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0448_W_76_1993 ;Gaula;0.9996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0449_W_87_1993 ;Alta;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0450_W_80_1993 ;UN_aver;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0454_W_91_1993 ;Gaula;0.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0451_W_98_1993 ;Mal_aver;0.8893;Lardaiselva;0.0878;Neiden_aver;0.0116;Gaula;0.0101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0470_W_70_1993 ;Dionard;0.9328;Dart;0.0499;Blackwater;0.0130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
